citing_id,cited_id,citing_title,cited_title
wang2025theb,yan2023impact,The mediating role of supply chain digitization in the relationship between cross-border e-commerce development and regional economic growth,Impact and optimization strategy of cross-border e-commerce on aquatic product supply chain under the background of big data
osman2025interconnected,jones2023digital,Interconnected and resilient: A CGE analysis of AI-driven cyberattacks in global trade,Digital disruption: artificial intelligence and international trade policy
qiao2025crossborder,zhou2022blockchainenabled,Cross-Border E-Business and Air Quality: A Quasi-Natural Experiment from the Perspective of Natural Resources,Blockchain-Enabled Cross-Border E-Commerce Supply Chain Management: A Bibliometric Systematic Review
qiao2025crossborder,barata2024determinants,Cross-Border E-Business and Air Quality: A Quasi-Natural Experiment from the Perspective of Natural Resources,"Determinants of E-Commerce, Artificial Intelligence, and Agile Methods in Small- and Medium-Sized Enterprises"
cai2025transforming,zhang2024understanding,Transforming Trade and Environment: Digital Trade's Impact on Carbon Emissions in the European Union,"Understanding the evolution of China’s approach to digital trade: interests, ideas, and institutions"
qian2025stability,yang2019maritime,Stability analysis of maritime logistics alliance based on blockchain,"Maritime shipping digitalization: Blockchain-based technology applications, future improvements, and intention to use"
qian2025stability,liu2023blockchain,Stability analysis of maritime logistics alliance based on blockchain,"Blockchain technology in maritime supply chains: applications, architecture and challenges"
vijayakuma2025technologycentric,chen2021the,Technology-centric and Data-Driven Customs Risk Management for Supply Chain Security,The use of machine learning to identify the correctness of HS Code for the customs import declarations
vijayakuma2025technologycentric,mikuriya2020if,Technology-centric and Data-Driven Customs Risk Management for Supply Chain Security,"If algorithms dream of customs, do customs officials dream of algorithms? A manifesto for data mobilisation in customs"
li2025blockchain,yang2019maritime,Blockchain Effects and Investment Strategies in the Maritime Supply Chain Under Perishable Goods Loss,"Maritime shipping digitalization: Blockchain-based technology applications, future improvements, and intention to use"
li2025blockchain,liu2023blockchain,Blockchain Effects and Investment Strategies in the Maritime Supply Chain Under Perishable Goods Loss,"Blockchain technology in maritime supply chains: applications, architecture and challenges"
li2025blockchain,wang2021blockchain,Blockchain Effects and Investment Strategies in the Maritime Supply Chain Under Perishable Goods Loss,Blockchain technology for port logistics capability: Exclusive or sharing
li2025blockchain,balci2021blockchain,Blockchain Effects and Investment Strategies in the Maritime Supply Chain Under Perishable Goods Loss,Blockchain adoption in the maritime supply chain: Examining barriers and salient stakeholders in containerized international trade
heinemann2025digitalization,kitsios2023tax,Digitalization and cross-border tax fraud: evidence from e-invoicing in Italy,Tax evasion from cross-border fraud: does digitalization make a difference?
sangari2025breaking,chang2020blockchain,Breaking the mold: the pursuit of decentralized trade and supply chain finance,"Blockchain in global supply chains and cross border trade: a critical synthesis of the state-of-the-art, challenges and opportunities"
sangari2025breaking,chang2020blockchainenabled,Breaking the mold: the pursuit of decentralized trade and supply chain finance,Blockchain-enabled trade finance innovation: A potential paradigm shift on using letter of credit
sangari2025breaking,sinha2021blockchainbased,Breaking the mold: the pursuit of decentralized trade and supply chain finance,Blockchain-based smart contract for international business – a framework
sangari2025breaking,toorajipou2022block,Breaking the mold: the pursuit of decentralized trade and supply chain finance,Block by block: A blockchain-based peer-to-peer business transaction for international trade
alsheyab2025legal,ganne2021blockchain,Legal analysis of the merits of electronic transferable records: toward cross-border trade digitalization,Blockchain for trade: When code needs law
cui2025exploring,liu2020a,Exploring the knowledge mapping and research trends of cross-border e-commerce,A blockchain-based framework of cross-border e-commerce supply chain
krzan2025artificial,segers2019the,Artificial Intelligence in the Automation Process of Customs Declaration Preparation: A Case Study of an International Logistics Company,The use of a blockchain-based smart import declaration to reduce the need for manual cross-validation by customs authorities
krzan2025artificial,pavlova2021digitalization,Artificial Intelligence in the Automation Process of Customs Declaration Preparation: A Case Study of an International Logistics Company,Digitalization of Tax and Customs Control of Foreign Trade Operations
krzan2025artificial,boikova2022transformation,Artificial Intelligence in the Automation Process of Customs Declaration Preparation: A Case Study of an International Logistics Company,Transformation of Customs Administration and the Impact of Automation on Decision-Making by Customs Authorities
krzan2025artificial,lux2021classification,Artificial Intelligence in the Automation Process of Customs Declaration Preparation: A Case Study of an International Logistics Company,Classification of Goods: What are the Hurdles and Pitfalls in the Use of Automation or IT Support?
krzan2025artificial,han2023research,Artificial Intelligence in the Automation Process of Customs Declaration Preparation: A Case Study of an International Logistics Company,Research on intelligent customs declaration generation in Guangdong-Hong Kong cross-border road cargo clearance
krzan2025artificial,lee2023robotics,Artificial Intelligence in the Automation Process of Customs Declaration Preparation: A Case Study of an International Logistics Company,Robotics Process Automation (RPA) and the Import/Export Customs Declaration Process
krzan2025artificial,han2024research,Artificial Intelligence in the Automation Process of Customs Declaration Preparation: A Case Study of an International Logistics Company,Research on the Construction of Intelligent Customs Clearance Information System for Cross-Border Road Cargo Between Guangdong and Hong Kong
kim2025improving,yoon2020the,Improving product safety in an international agrifood supply chain,The value of Blockchain technology implementation in international trades under demand volatility risk
kim2025improving,niu2021should,Improving product safety in an international agrifood supply chain,Should multinational firms implement blockchain to provide quality verification?
