source_id,target_id,source,target,weight
A5058474801,A5081148242,Murad Ali Ahmad Al-Zaqeba,Iqbal H. Jebril,1
A5058474801,A5086633673,Murad Ali Ahmad Al-Zaqeba,Ali Khaled Qtaishat,1
A5058474801,A5119844078,Murad Ali Ahmad Al-Zaqeba,Tariq Samih Hanandeh,1
A5016718331,A5012197148,Ahmad Nader Aloqaily,Faisal Aburub,1
A5016718331,A5016486936,Ahmad Nader Aloqaily,Haneen A. Al-Khawaja,1
A5016718331,A5081148242,Ahmad Nader Aloqaily,Iqbal H. Jebril,1
A5016718331,A5086633673,Ahmad Nader Aloqaily,Ali Khaled Qtaishat,1
A5016718331,A5119844078,Ahmad Nader Aloqaily,Tariq Samih Hanandeh,1
A5016486936,A5012197148,Haneen A. Al-Khawaja,Faisal Aburub,1
A5016486936,A5081148242,Haneen A. Al-Khawaja,Iqbal H. Jebril,1
A5016486936,A5086633673,Haneen A. Al-Khawaja,Ali Khaled Qtaishat,1
A5016486936,A5119844078,Haneen A. Al-Khawaja,Tariq Samih Hanandeh,1
A5081148242,A5012197148,Iqbal H. Jebril,Faisal Aburub,1
A5081148242,A5086633673,Iqbal H. Jebril,Ali Khaled Qtaishat,1
A5081148242,A5119844078,Iqbal H. Jebril,Tariq Samih Hanandeh,1
A5012197148,A5086633673,Faisal Aburub,Ali Khaled Qtaishat,1
A5012197148,A5119844078,Faisal Aburub,Tariq Samih Hanandeh,1
A5086633673,A5119844078,Ali Khaled Qtaishat,Tariq Samih Hanandeh,1
A5011394941,A5007118940,R. Subash Moorthy,Prashant Gidde,1
A5011394941,A5031077789,R. Subash Moorthy,Bhanu Jain,1
A5031077789,A5007118940,Bhanu Jain,Prashant Gidde,1
SCO_mizushina_k,SCO_baba_t,"Mizushina, K.","Baba, T.",1
SCO_mizushina_k,SCO_naono_k,"Mizushina, K.","Naono, K.",1
SCO_mizushina_k,SCO_takata_m,"Mizushina, K.","Takata, M.",1
SCO_baba_t,SCO_naono_k,"Baba, T.","Naono, K.",1
SCO_baba_t,SCO_takata_m,"Baba, T.","Takata, M.",1
SCO_takata_m,SCO_naono_k,"Takata, M.","Naono, K.",1
A5099342152,A5026617038,Mathijs Pellemans,Sandjai Bhulai,1
A5099342152,A5089585222,Mathijs Pellemans,Jesper Slik,1
A5089585222,A5026617038,Jesper Slik,Sandjai Bhulai,1
A5086617420,A5057008719,Lin Qi,Mengjie Liao,1
A5086617420,A5100349117,Lin Qi,Qianqian Zhang,1
A5086617420,A5100680433,Lin Qi,Jian Zhang,1
A5086617420,A5103098716,Lin Qi,Lin Xiao,1
A5100349117,A5057008719,Qianqian Zhang,Mengjie Liao,1
A5100349117,A5100680433,Qianqian Zhang,Jian Zhang,1
A5100349117,A5103098716,Qianqian Zhang,Lin Xiao,1
A5103098716,A5057008719,Lin Xiao,Mengjie Liao,1
A5103098716,A5100680433,Lin Xiao,Jian Zhang,1
A5100680433,A5057008719,Jian Zhang,Mengjie Liao,4
A5100680433,A5032728868,Jian Zhang,Wendi Jiao,1
A5100680433,A5028500988,Jian Zhang,Luona Song,1
A5100680433,A5035236851,Jian Zhang,Lei Huang,1
A5100680433,A5100649625,Jian Zhang,Bo Li,1
A5100680433,A5054218796,Jian Zhang,Zhenlong Wan,1
A5100680433,A5100541499,Jian Zhang,Han Ding,1
A5057008719,A5032728868,Mengjie Liao,Wendi Jiao,1
A5057008719,A5028500988,Mengjie Liao,Luona Song,1
A5057008719,A5035236851,Mengjie Liao,Lei Huang,1
A5057008719,A5100649625,Mengjie Liao,Bo Li,1
A5057008719,A5054218796,Mengjie Liao,Zhenlong Wan,1
A5057008719,A5100541499,Mengjie Liao,Han Ding,1
A5021414632,A5100433581,Zhiyu Yang,Yu Zhang,1
A5074142139,A5089718650,M. C. Remany,Daly Cyriac,1
A5074142139,A5101559688,M. C. Remany,Anup Mandal,1
A5074142139,A5120049654,M. C. Remany,V Shanmuga Arasu,1
A5089718650,A5101559688,Daly Cyriac,Anup Mandal,1
A5089718650,A5120049654,Daly Cyriac,V Shanmuga Arasu,1
A5120049654,A5101559688,V Shanmuga Arasu,Anup Mandal,1
A5113115080,A5012597896,Xiaoqing Hou,D’Maris Coffman,1
A5113115080,A5036040340,Xiaoqing Hou,Kehan He,1
A5113115080,A5042353035,Xiaoqing Hou,Gengzhong Feng,1
A5113115080,A5058380196,Xiaoqing Hou,Jiali Zheng,1
A5113115080,A5078558986,Xiaoqing Hou,Shouyang Wang,1
A5113115080,A5082892851,Xiaoqing Hou,Tao Ma,1
A5113115080,A5084869905,Xiaoqing Hou,Zhifu Mi,1
A5113115080,A5100578562,Xiaoqing Hou,Minna He,1
A5058380196,A5012597896,Jiali Zheng,D’Maris Coffman,1
A5058380196,A5036040340,Jiali Zheng,Kehan He,1
A5058380196,A5042353035,Jiali Zheng,Gengzhong Feng,1
A5058380196,A5078558986,Jiali Zheng,Shouyang Wang,1
A5058380196,A5082892851,Jiali Zheng,Tao Ma,1
A5058380196,A5084869905,Jiali Zheng,Zhifu Mi,1
A5058380196,A5100578562,Jiali Zheng,Minna He,1
A5100578562,A5012597896,Minna He,D’Maris Coffman,1
A5100578562,A5036040340,Minna He,Kehan He,1
A5100578562,A5042353035,Minna He,Gengzhong Feng,1
A5100578562,A5078558986,Minna He,Shouyang Wang,1
A5100578562,A5082892851,Minna He,Tao Ma,1
A5100578562,A5084869905,Minna He,Zhifu Mi,1
A5042353035,A5012597896,Gengzhong Feng,D’Maris Coffman,1
A5042353035,A5036040340,Gengzhong Feng,Kehan He,1
A5042353035,A5078558986,Gengzhong Feng,Shouyang Wang,1
A5042353035,A5082892851,Gengzhong Feng,Tao Ma,1
A5042353035,A5084869905,Gengzhong Feng,Zhifu Mi,1
A5036040340,A5012597896,Kehan He,D’Maris Coffman,1
A5036040340,A5078558986,Kehan He,Shouyang Wang,1
A5036040340,A5082892851,Kehan He,Tao Ma,1
A5036040340,A5084869905,Kehan He,Zhifu Mi,1
A5082892851,A5012597896,Tao Ma,D’Maris Coffman,1
A5082892851,A5078558986,Tao Ma,Shouyang Wang,1
A5082892851,A5084869905,Tao Ma,Zhifu Mi,1
A5012597896,A5078558986,D’Maris Coffman,Shouyang Wang,1
A5012597896,A5084869905,D’Maris Coffman,Zhifu Mi,1
A5084869905,A5078558986,Zhifu Mi,Shouyang Wang,1
A5059547419,A5016617052,Saltanat Mamyrova,Gulnar A. Alibayeva,1
A5059547419,A5063733236,Saltanat Mamyrova,Serikkali Tynybekov,1
A5059547419,A5076497813,Saltanat Mamyrova,Kultay Adilova,1
A5059547419,A5110683097,Saltanat Mamyrova,Ainur Kussainova,1
A5016617052,A5063733236,Gulnar A. Alibayeva,Serikkali Tynybekov,1
A5016617052,A5076497813,Gulnar A. Alibayeva,Kultay Adilova,1
A5016617052,A5110683097,Gulnar A. Alibayeva,Ainur Kussainova,1
A5076497813,A5063733236,Kultay Adilova,Serikkali Tynybekov,1
A5076497813,A5110683097,Kultay Adilova,Ainur Kussainova,1
A5110683097,A5063733236,Ainur Kussainova,Serikkali Tynybekov,1
A5086906208,A5022741687,Vyron Kampourakis,Sokratis Katsikas,1
A5086906208,A5038704333,Vyron Kampourakis,Georgios Kavallieratos,1
A5086906208,A5071334624,Vyron Kampourakis,Vasileios Gkioulos,1
A5038704333,A5022741687,Georgios Kavallieratos,Sokratis Katsikas,1
A5038704333,A5071334624,Georgios Kavallieratos,Vasileios Gkioulos,1
A5071334624,A5022741687,Vasileios Gkioulos,Sokratis Katsikas,1
A5095957527,A5057134203,Jiale Quan,Yan Duan,1
A5095957527,A5065153972,Jiale Quan,Qiang Fu,1
A5057134203,A5065153972,Yan Duan,Qiang Fu,1
A5010911638,A5039319594,Rundong Liao,Yuxi Chai,1
A5100530900,A5016641957,Qiong He,Pengzhao Li,1
A5100428213,A5061144808,Jie Li,Chao Cao,1
A5100428213,A5075184717,Jie Li,Ximing Cai,1
A5100428213,A5090635785,Jie Li,Yansheng Chen,1
A5100428213,A5100723277,Jie Li,Rui Wang,1
A5100723277,A5061144808,Rui Wang,Chao Cao,1
A5100723277,A5075184717,Rui Wang,Ximing Cai,1
A5100723277,A5090635785,Rui Wang,Yansheng Chen,1
A5075184717,A5061144808,Ximing Cai,Chao Cao,1
A5075184717,A5090635785,Ximing Cai,Yansheng Chen,1
A5090635785,A5061144808,Yansheng Chen,Chao Cao,1
A5082479659,A5014227868,Rafi Ullah Khan,Mohammed Jameel,1
A5082479659,A5089601222,Rafi Ullah Khan,Jingbo Yin,1
A5082479659,A5102954579,Rafi Ullah Khan,Mujtaba Asad,1
A5082479659,A5119064491,Rafi Ullah Khan,Thamer Alomayri,1
A5089601222,A5014227868,Jingbo Yin,Mohammed Jameel,1
A5089601222,A5102954579,Jingbo Yin,Mujtaba Asad,1
A5089601222,A5119064491,Jingbo Yin,Thamer Alomayri,1
A5102954579,A5014227868,Mujtaba Asad,Mohammed Jameel,1
A5102954579,A5119064491,Mujtaba Asad,Thamer Alomayri,1
A5119064491,A5014227868,Thamer Alomayri,Mohammed Jameel,1
A5119003390,A5003204404,Maria Rosilene Sabino,María do Rosário Cabrita,1
A5119003390,A5053503335,Maria Rosilene Sabino,Marcela Souto Castro,1
A5119003390,A5068752120,Maria Rosilene Sabino,Tiago Pinho,1
A5119003390,A5101599604,Maria Rosilene Sabino,Ana Mendes,1
A5003204404,A5053503335,María do Rosário Cabrita,Marcela Souto Castro,1
A5003204404,A5068752120,María do Rosário Cabrita,Tiago Pinho,1
A5003204404,A5101599604,María do Rosário Cabrita,Ana Mendes,1
A5053503335,A5068752120,Marcela Souto Castro,Tiago Pinho,1
A5053503335,A5101599604,Marcela Souto Castro,Ana Mendes,1
A5101599604,A5068752120,Ana Mendes,Tiago Pinho,1
A5079887660,A5102022203,Dejian Yu,Bo Xiang,1
A5079887660,A5051942865,Dejian Yu,Anran Fang,1
A5004367781,A5020913417,Mounaf Asaad Khalil,Regina Padmanabhan,1
A5004367781,A5040213636,Mounaf Asaad Khalil,Adel Elomri,1
A5004367781,A5044128297,Mounaf Asaad Khalil,Majed Hadid,1
A5004367781,A5088003816,Mounaf Asaad Khalil,Laoucine Kerbache,1
A5020913417,A5040213636,Regina Padmanabhan,Adel Elomri,1
A5020913417,A5044128297,Regina Padmanabhan,Majed Hadid,1
A5020913417,A5088003816,Regina Padmanabhan,Laoucine Kerbache,1
A5044128297,A5040213636,Majed Hadid,Adel Elomri,1
A5044128297,A5088003816,Majed Hadid,Laoucine Kerbache,1
A5040213636,A5088003816,Adel Elomri,Laoucine Kerbache,1
A5041111233,A5064297795,Lea Karbevska,César A. Hidalgo,1
A5100696967,A5022175222,Jia Wang,Nur Aima Shafie,1
A5100696967,A5044639048,Jia Wang,Eley Suzana Kasim,1
A5022175222,A5044639048,Nur Aima Shafie,Eley Suzana Kasim,1
A5054450478,A5007044119,Wonho Sohn,Junghye Lee,1
A5054450478,A5031739856,Wonho Sohn,Dong-Cheol Lim,1
A5054450478,A5087200373,Wonho Sohn,Suhyeon Kim,1
A5031739856,A5007044119,Dong-Cheol Lim,Junghye Lee,1
A5031739856,A5087200373,Dong-Cheol Lim,Suhyeon Kim,1
